metric,1,2,3,4,5,6,7,8,9,10
taxa_acerto,"(-0.30552470684051514, 'identifier')","(-0.29370424151420593, 'h1')","(-0.2922678589820862, 'less')","(-0.28647175431251526, 'difficulty')","(-0.24583962559700012, 'equal')","(-0.21682347357273102, 'greater')","(0.2146594375371933, 'identifiers_min_len')","(-0.20850422978401184, 'minus')","(-0.2051815390586853, 'effort')","(-0.2051815390586853, 'time')"
num_submissoes,"(0.23008158802986145, 'rpar')","(0.23008158802986145, 'lpar')","(0.22446073591709137, 'h1')","(0.19922949373722076, 'kwd_print')","(0.19764909148216248, 'difficulty')","(0.18161694705486298, 'effort')","(0.18161694705486298, 'time')","(0.17578008770942688, 'lloc')","(0.17298851907253265, 'sloc')","(0.17212292551994324, 'newline')"
taxa_aceitacao,"(-0.2888731360435486, 'h1')","(-0.2619256377220154, 'difficulty')","(-0.2557145357131958, 'rpar')","(-0.2557145357131958, 'lpar')","(-0.22531796991825104, 'time')","(-0.22531796991825104, 'effort')","(-0.2216646373271942, 'lloc')","(-0.21857154369354248, 'newline')","(-0.2174881249666214, 'sloc')","(-0.20100447535514832, 'h')"
num_testes,"(0.3106674253940582, 'h1')","(0.2987344563007355, 'difficulty')","(0.2298153191804886, 'less')","(0.21728821098804474, 'minus')","(0.21591918170452118, 'greater')","(0.21251952648162842, 'comments')","(0.21251952648162842, 'comment')","(0.2079281061887741, 'identifier')","(0.1965913474559784, 'single_comments')","(-0.19567734003067017, 'identifiers_min_len')"
num_consultas,"(0.3222953677177429, 'h1')","(0.30296099185943604, 'difficulty')","(0.21155893802642822, 'greater')","(0.2104509323835373, 'time')","(0.2104509323835373, 'effort')","(0.20780977606773376, 'minus')","(0.20574815571308136, 'less')","(0.20002517104148865, 'identifier')","(0.17630210518836975, 'comments')","(0.17630210518836975, 'comment')"
num_erros,"(0.23934867978096008, 'h1')","(0.23527108132839203, 'lpar')","(0.23527108132839203, 'rpar')","(0.21204589307308197, 'difficulty')","(0.1913093775510788, 'time')","(0.1913093775510788, 'effort')","(0.18558719754219055, 'lloc')","(0.1852104514837265, 'kwd_print')","(0.18262910842895508, 'sloc')","(0.18201690912246704, 'newline')"
num_erros_lgcs,"(0.2914249002933502, 'kwd_print')","(0.27794232964515686, 'sloc')","(0.27128657698631287, 'lloc')","(0.2671052813529968, 'newline')","(0.26305148005485535, 'h1')","(0.25924766063690186, 'effort')","(0.25924766063690186, 'time')","(0.2555026710033417, 'difficulty')","(0.24855361878871918, 'rpar')","(0.24855361878871918, 'lpar')"
num_errors_stx,"(0.22058448195457458, 'identifiers_unique')","(0.19583913683891296, 'builtin_func_unique')","(0.1698601096868515, 'builtin_func')","(-0.14278289675712585, 'eq_equal')","(0.14261764287948608, 'builtin_type_unique')","(-0.13312943279743195, 'string')","(0.1315624862909317, 'lsqb')","(0.1315624862909317, 'rsqb')","(0.1145312562584877, 'number_float')","(-0.10650470107793808, 'N1')"
num_eventos,"(0.5180866122245789, 'complexity')","(0.5072913765907288, 'keyword')","(0.5018754005432129, 'sloc')","(0.4892667829990387, 'lloc')","(0.4881135821342468, 'dedent')","(0.4881135821342468, 'indent')","(0.4865820109844208, 'newline')","(0.48560601472854614, 'identifier')","(0.48155340552330017, 'colon')","(0.41986483335494995, 'rpar')"
num_eventos_del,"(0.49437710642814636, 'sloc')","(0.48817119002342224, 'lloc')","(0.4864707589149475, 'newline')","(0.45340168476104736, 'identifier')","(0.4524044990539551, 'complexity')","(0.4363662898540497, 'dedent')","(0.4363662898540497, 'indent')","(0.4317333400249481, 'colon')","(0.42972585558891296, 'keyword')","(0.42258894443511963, 'rpar')"
tempo_implementacao,"(0.5024826526641846, 'rpar')","(0.5024826526641846, 'lpar')","(0.3954690396785736, 'sloc')","(0.36778759956359863, 'identifier')","(0.36716312170028687, 'newline')","(0.3661233186721802, 'lloc')","(0.35709458589553833, 'dot')","(0.3390292227268219, 'identifiers_unique')","(-0.32621657848358154, 'identifiers_min_len')","(0.2998787760734558, 'keyword')"
num_std_sem_submissao,"(0.34796518087387085, 'nl')","(0.31591951847076416, 'blank_lines')","(0.29232779145240784, 'comments')","(0.29232779145240784, 'comment')","(0.2784408628940582, 'loc')","(0.27419066429138184, 'single_comments')","(0.20700502395629883, 'equal')","(0.20376433432102203, 'percent')","(0.15522229671478271, 'difficulty')","(0.150192990899086, 'multi_comments')"
qtd_alteracoes_codigo,"(0.5741333961486816, 'keyword')","(0.5706241130828857, 'lloc')","(0.5665444731712341, 'sloc')","(0.5663544535636902, 'complexity')","(0.5635597705841064, 'newline')","(0.5496110320091248, 'identifier')","(0.538874089717865, 'colon')","(0.5292947292327881, 'indent')","(0.5292947292327881, 'dedent')","(0.4015922546386719, 'rpar')"
